2025-08-08 19:29:42, 20.625도, 16.997도, 50.217%, 544.741W/m2, 0.063%, 4.323%
2025-08-08 19:32:33, 25.498도, 17.236도, 58.643%, 559.118W/m2, 0.052%, 4.821%
2025-08-08 19:32:33, 23.751도, 18.677도, 55.303%, 654.78W/m2, 0.064%, 6.717%
2025-08-08 19:32:38, 29.354도, 8.237도, 51.858%, 635.91W/m2, 0.095%, 6.506%
2025-08-08 19:32:43, 28.585도, 11.238도, 53.915%, 532.587W/m2, 0.041%, 4.647%
2025-08-10 17:36:54, 29.421도, 3.377도, 53.18%, 574.456W/m2, 0.037%, 6.995%
2025-08-10 17:44:12, 27.998도, 12.155도, 52.855%, 585.776W/m2, 0.07%, 6.865%
2025-08-10 17:44:12, 28.235도, 17.315도, 55.077%, 711.429W/m2, 0.061%, 5.161%
2025-08-10 17:44:17, 25.94도, 14.668도, 53.85%, 510.079W/m2, 0.083%, 6.495%
2025-08-10 17:44:22, 24.447도, 16.236도, 59.544%, 591.476W/m2, 0.068%, 6.58%
2025-08-10 17:44:28, 19.784도, 16.214도, 55.639%, 698.343W/m2, 0.091%, 4.372%
2025-08-10 17:44:33, 23.559도, 14.047도, 50.424%, 655.95W/m2, 0.057%, 4.604%
2025-08-10 17:45:19, 28.0도, 16.99도, 55.951%, 506.355W/m2, 0.027%, 6.647%
2025-08-10 17:45:19, 25.352도, 12.647도, 55.478%, 584.721W/m2, 0.068%, 4.061%
2025-08-10 17:45:24, 19.867도, 11.014도, 50.185%, 659.216W/m2, 0.08%, 6.182%
2025-08-10 17:45:29, 19.641도, 15.143도, 52.586%, 698.183W/m2, 0.021%, 4.604%
2025-08-10 17:45:34, 29.585도, 3.435도, 57.495%, 607.519W/m2, 0.028%, 5.829%
2025-08-10 17:45:39, 22.034도, 12.502도, 50.56%, 500.664W/m2, 0.091%, 4.168%
2025-08-10 17:45:44, 21.886도, 8.481도, 52.538%, 655.39W/m2, 0.049%, 5.555%
